161,False,False,Ak Yufka,[],/biz/ak-yufka-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2353463,,,,[],{},ak-yufka-adana,
162,False,False,Kardeşler Unlu Mamülleri,[],/biz/karde%C5%9Fler-unlu-mam%C3%BClleri-adana-18?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2262677,,,,[],{},kardeşler-unlu-mamülleri-adana-18,
163,False,False,Gaziantep Kızlar Fırını,[],/biz/gaziantep-k%C4%B1zlar-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 5843789,,,,[],{},gaziantep-kızlar-fırını-adana,
164,False,False,Obalar 2 Asri Ekmek Fabrikası,[],/biz/obalar-2-asri-ekmek-fabrikas%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2350076,,,,[],{},obalar-2-asri-ekmek-fabrikası-adana,
165,False,False,Öznur Pide Fırını,[],/biz/%C3%B6znur-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 3246849,,,,[],{},öznur-pide-fırını-adana,
166,False,False,Keremoğlu Pastanesi,[],/biz/keremo%C4%9Flu-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2277138,,,,[],{},keremoğlu-pastanesi-adana,
167,False,False,Yaşar Ekmekçilik,[],/biz/ya%C5%9Far-ekmek%C3%A7ilik-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 4286608,,,,[],{},yaşar-ekmekçilik-adana,
168,False,False,Ezgi Pide Fırını,[],/biz/ezgi-pide-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2266283,,,,[],{},ezgi-pide-fırını-adana,
169,False,False,Burak Ekmek Fırını,[],/biz/burak-ekmek-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 4588748,,,,[],{},burak-ekmek-fırını-adana,
170,False,False,Kardeşler Unlu Mamülleri,[],/biz/karde%C5%9Fler-unlu-mam%C3%BClleri-adana-14?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,False,0,,[],(0322) 2489200,,,,[],{},kardeşler-unlu-mamülleri-adana-14,
171,False,False,Kardeşler Unlu Mamülleri,[],/biz/karde%C5%9Fler-unlu-mam%C3%BClleri-adana-13?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2311784,,,,[],{},kardeşler-unlu-mamülleri-adana-13,
172,False,False,Özlem 2 Ekmek Fırını,[],/biz/%C3%B6zlem-2-ekmek-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2276378,,,,[],{},özlem-2-ekmek-fırını-adana,
173,False,False,Venedik Fırını,[],/biz/venedik-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 6133928,,,,[],{},venedik-fırını-adana,
174,False,False,Öztürk Pastanesi,[],/biz/%C3%B6zt%C3%BCrk-pastanesi-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 5813914,,,,[],{},öztürk-pastanesi-adana,
175,False,False,Kozan Ekmek Fırını,[],/biz/kozan-ekmek-f%C4%B1r%C4%B1n%C4%B1-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 5158531,,,,[],{},kozan-ekmek-fırını-adana,
176,False,False,Yeni Alptekinler Un ve Unlu Mamülleri,[],/biz/yeni-alptekinler-un-ve-unlu-mam%C3%BClleri-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 2397174,,,,[],{},yeni-alptekinler-un-ve-unlu-mamülleri-adana,
177,False,False,Alp Tekin Ekmekçilik,[],/biz/alp-tekin-ekmek%C3%A7ilik-adana?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=Alada%C4%9F'}]",,0,True,0,,[],(0322) 5844172,,,,[],{},alp-tekin-ekmekçilik-adana,
