51,False,False,Tezoco Xocua Cenobio,[],/biz/tezoco-xocua-cenobio-c%C3%B3rdoba?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],,,,,[],{},tezoco-xocua-cenobio-córdoba,
52,False,False,Valiente Lara Faustino,[],/biz/valiente-lara-faustino-cuitlahuac?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],27 373 45616,,,,[],{},valiente-lara-faustino-cuitlahuac,
53,False,False,Landero Martinez Mayra,[],/biz/landero-martinez-mayra-orizaba?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],,,,,[],{},landero-martinez-mayra-orizaba,
54,False,False,Martinez Tonix Nora Guadalupe,[],/biz/martinez-tonix-nora-guadalupe-c%C3%B3rdoba?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],,,,,[],{},martinez-tonix-nora-guadalupe-córdoba,
55,False,False,Pasteleria y Cafeteria Dauzon,[],/biz/pasteleria-y-cafeteria-dauzon-c%C3%B3rdoba?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],27 171 24163,,,,[],{},pasteleria-y-cafeteria-dauzon-córdoba,
56,False,False,Diaz Reyes Saul,[],/biz/diaz-reyes-saul-fort%C3%ADn?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],27 171 33315,,,,[],{},diaz-reyes-saul-fortín,
57,False,False,Carrillo Gonzalez Leticia,[],/biz/carrillo-gonzalez-leticia-fort%C3%ADn-2?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],,,,,[],{},carrillo-gonzalez-leticia-fortín-2,
58,False,False,Ramirez Montiel Maribel,[],/biz/ramirez-montiel-maribel-fort%C3%ADn?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],,,,,[],{},ramirez-montiel-maribel-fortín,
59,False,False,Becerra Sanchez Elpidio,[],/biz/becerra-sanchez-elpidio-c%C3%B3rdoba-2?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],27 112 51645,,,,[],{},becerra-sanchez-elpidio-córdoba-2,
60,False,False,Loyo Martinez Maria,[],/biz/loyo-martinez-maria-c%C3%B3rdoba?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],27 140 58040,,,,[],{},loyo-martinez-maria-córdoba,
61,False,False,Morales la Vida Modesto,[],/biz/morales-la-vida-modesto-c%C3%B3rdoba?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],,,,,[],{},morales-la-vida-modesto-córdoba,
62,False,False,Pasteleria el Rosario,[],/biz/pasteleria-el-rosario-c%C3%B3rdoba?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],27 171 45462,,,,[],{},pasteleria-el-rosario-córdoba,
63,False,False,Ascencio Torres Marilu,[],/biz/ascencio-torres-marilu-r%C3%ADo-blanco?osq=bakeries,"[{'title': 'Bakeries', 'url': '/search?find_desc=Bakeries&amp;find_loc=San+Jos%C3%A9+Tenango%2C+Oaxaca'}]",,0,False,0,,[],,,,,[],{},ascencio-torres-marilu-río-blanco,
